Domain            ;Fluent      ;Accumulated Reward (LB) ;Accumulated Reward (UB) ;Score (Diff)        ;Score (Explained Interval)
ModifiedReservoir ;regular     ;-33289.024999999994     ;                    0.0 ;   0.0              ;        1.0
ModifiedReservoir ;rlevel___t1 ;-36584.525              ;                    0.0 ;3295.5000000000073  ;        1.098996591218878
ModifiedReservoir ;rlevel___t2 ;-36584.525              ;                    0.0 ;3295.5000000000073  ;        1.098996591218878
ModifiedReservoir ;rlevel___t3 ;-33409.0                ;                    0.0 ; 119.97500000000582 ;        1.0036040406710622
