pid,worker,iteration,target,best_target,acq_params,TUNABLE_WEIGHT,TUNABLE_LEARNING_RATE
36638,0,0,-75452.0965617671,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",50615.76888752303,0.0017670169402947944
36639,1,0,-76883.61808722977,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",390.79671568228804,0.246583294585491
36643,2,0,-74299.1329041817,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.8629132190071857,8.632008168602546e-05
36642,3,0,-74508.68885029656,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",15741.890047456642,2.2310108018679208e-05
36640,4,0,-75099.399366417,-75099.399366417,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",1771.8847354806812,0.040428727350273315
36641,5,0,-73695.82184774632,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",65987.11072054073,1.3289448722869186e-05
37469,0,1,-75279.13690862284,-73683.3385476071,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",11.621557508579901,1.0927829854036014e-05
37466,1,1,-73683.3385476071,-73683.3385476071,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",99084.81652179151,0.00046030867128591844
37465,2,1,-74532.11793270515,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",85367.69068266099,1.9547782276445052e-05
37470,3,1,-73886.1842538481,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",96427.59997003763,1.8275339537686755e-05
37467,4,1,-73932.78972146632,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10680047763588392,1.0329450392644584e-05
37468,5,1,-74671.74802734045,-73695.82184774632,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",45229.192214983384,2.375007372488036e-05
38358,0,2,-75657.06196445422,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10201660023562423,0.016338765725164947
38355,1,2,-76816.8358320666,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10196085314135131,9.023902526859306
38356,2,2,-72179.86490852451,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",26.59932023019771,2.3008502547359288e-05
38354,3,2,-72899.05972398474,-72899.05972398474,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.11417896644996368,8.970318515645342
38357,4,2,-76602.0950444219,-73683.3385476071,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10500778547895934,5.272342360441321
38353,5,2,-73921.89990498299,-73683.3385476071,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",33.24978050275343,1.3810449742996413e-05
39193,0,3,-76286.53675884906,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.18067595236644138,8.651568322259115
39190,1,3,-78354.51965478946,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.1722878825568978,9.288331564995453
