pid,worker,iteration,target,best_target,kappa,std,lr,w,wa
16781,0,0,0.0,0.0,9.716279515771062,0.2977018803846981,0.010900192601592792,738.252272092886,1614.4137966653361
16778,1,0,9.768190995252922,676.6400519772964,9.440608762859233,3.815676179970159,0.00010098378365247086,2.20007320185207,55.264038307268365
16779,2,0,676.6400519772964,676.6400519772964,9.172759353897794,0.0041021388862297345,0.8726914549240526,1.505414578501454,2499.926664413202
16780,3,0,0.0,0.0,8.912509381337452,0.00013782120378327123,0.000320580799855678,1522.0684538286544,1.95724412495555
16836,0,1,0.0,676.6400519772964,8.413951416451948,62.72123646037453,57.009539358140565,1.4653205692458755,70630.16732448676
16834,1,1,41.380429481038,676.6400519772964,7.9432823472428105,17.91333017266761,0.12004794543320703,2.803801566229869,148.49667728056028
16837,2,1,0.5897193083185357,676.6400519772964,8.175230379436496,1.3502478609880413,81.56770143687596,1954.4602887381434,63.12920522035059
16835,3,1,0.0,676.6400519772964,8.65964323360065,61.52368133855408,80.80578802745896,1.3082186992528908,22715.36944640389
16900,0,2,2069.5214346072844,2069.5214346072844,7.2861817451322715,2.2458780997591168e-05,6.0989503634520705,1.0,17155.41205377908
16898,1,2,2022.1898800009558,2022.1898800009558,7.079457843841373,2.281539544182572e-05,5.998364055439068,1.0,17331.913454216967
16901,2,2,0.0,676.6400519772964,7.717915155850119,2.617298367441961e-05,0.7327625373323599,25218.26150384083,60726.08957173092
16899,3,2,13.715330009904022,676.6400519772964,7.498942093324553,0.03493271235321442,0.000303390950310235,6.652107927043608,32803.80482186689
16964,0,3,0.0,2069.5214346072844,6.309573444801926,2.0575960827278822e-05,6.271715483235845,1.3341221518438222,8489.165839535144
16965,1,3,6430.952805255483,6430.952805255483,6.493816315762107,1e-05,100.0,1.0,39.4947720829068
16967,2,3,7714.549198514707,7790.938414309108,6.87859912308807,8.07509141050178e-05,15.687992488908709,1.0,741.570186623132
16966,3,3,7790.938414309108,7790.938414309108,6.68343917568614,0.0001352175882742399,14.066773000513809,1.0,926.6938999208317
17029,0,4,1760.4324146847437,7790.938414309108,6.130557921498201,1.899430677348684e-05,7.61070656036519,1.0,24062.490470849854
17027,1,4,7462.869718793339,7790.938414309108,5.956621435290098,1e-05,74.08301321428787,1.0,20.081059212256996
17028,2,4,7203.448688461909,7790.938414309108,5.623413251903485,0.0001706189808588906,39.44535307092263,1.0,210.72506879413658
17026,3,4,7173.8656986361075,7790.938414309108,5.7876198834912005,8.403396465248381e-05,23.84012368737478,1.0,383.43876077019604
17115,0,5,4889.337703253349,7790.938414309108,5.011872336272717,5.984340491364626e-05,20.326569521916596,1.0,25.525307823024114
17113,1,5,5474.224994849779,7790.938414309108,5.158221650723051,7.734038112851564e-05,9.683498755136545,1.0,16.322638623316035
17116,2,5,0.0,7790.938414309108,5.308844442309877,0.00018742644329574793,100.0,4.184998658632083,1280.552683532709
17114,3,5,6378.547159751965,7790.938414309108,5.463865498818536,0.00013336673977198106,3.1776179410494283,1.0,181.19136072281776
17178,0,6,8170.334993897718,8170.334993897718,4.466835921509625,0.0008535555659132102,11.021651612071706,1.0,144.82535968177223
17179,1,6,7172.344343323166,7790.938414309108,4.597269885308715,8.761170118133252e-05,100.0,1.0,20.314210463558013
17180,2,6,6212.668130441823,7790.938414309108,4.869675251658625,5.552588823845493e-05,24.08741721942235,1.0,31.319278566738905
