Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score
Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score
SimplifiedReservoir;regular;-50.0;55.0;0.0
Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score
SimplifiedReservoir;regular;-50.0;55.0;0.0
Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score
SimplifiedReservoir;regular;-50.0;55.0;0.0
SimplifiedReservoir;rlevel___t1;-220.0;85.0;200.0
SimplifiedReservoir;rlevel___t2;-430.0;75.0;400.0
