pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
<<<<<<< HEAD
1265,0,0,-12027.646268174263,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",457.0563099801451,2.4810409748678097,0.5669849511478846,0.04207988669606635,29
1266,1,0,-14271.27441645009,-14271.27441645009,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2142.3021757741053,2.5378155082656626,1.9517224641449478e-05,6.7965780907581514,13
1268,2,0,-46034.31479386885,-15685.163533322353,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",1452.8246637516033,0.07068974950624601,0.7072114131472232,0.05337032762603955,8
1263,3,0,-15869.719578050137,-15685.163533322353,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",42.0515645091387,0.5342937261279772,0.0003320559103751957,0.14618962793704957,15
1264,4,0,-16603.03044980415,-15685.163533322353,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2.8888383623653175,0.292043384718141,4.982752357076445e-05,0.6672367170464204,66
1267,5,0,-18759.451503107524,-18759.451503107524,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",37.25393839578886,2.34238498471129,9.962513222055107e-05,0.015339162591163618,121
1262,6,0,-15685.163533322353,-15685.163533322353,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.21147447960615703,62.45139574743064,7.122305833333864e-05,72.86653737491037,65
1261,7,0,-21893.889969636075,-21893.889969636075,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.3078651783619618,5.456725485601473,0.00033347927286375825,0.5762487216478598,131
2902,0,1,-12995.984122211037,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",405.5782174054049,3.508843629929344,0.5440768449819162,0.0413013341867836,33
2903,1,1,-24894.03262808184,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",10000.0,100.0,1.0,100.0,256
2900,2,1,-23760.81487917496,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,100.0,256
2898,3,1,-16713.212916387725,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.2084767160029647,79.93556693328743,5.833753311324167e-05,100.0,60
2896,4,1,-17027.39156069216,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.16232658586450316,58.509232112795914,5.3291064781613506e-05,56.40360087513984,61
2897,5,1,-21270.919493801874,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",59.28355382323238,2.1582817616423484,8.851803111309029e-05,0.010768127711426554,120
2899,6,1,-14617.102202500737,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.20404708147161066,80.06483439460501,6.095066231685442e-05,100.0,61
2901,7,1,-14575.889254485068,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,100.0,8
4245,0,2,-13614.130795500489,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",293.5026475733249,12.238253060518293,0.009059948792969593,0.45786667889314425,33
4248,1,2,-12334.233346991587,-12027.646268174263,"{'random_state': RandomState(MT19937) at 0x74D1DDCAD740, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",85.29845353536345,9.512463959574028,0.02269061268371374,0.09211102012643449,41
