pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
33243,3,3,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,8,256
33242,4,3,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,8,256
33241,5,3,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,8,256
34057,0,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,8,8
34062,1,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,8,8
34058,2,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,8,8
34061,3,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,8,256
34060,4,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1.0,8,256
34059,5,4,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1.0,8,256
35299,0,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1.0,8,8
35295,1,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,8,8
35297,2,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1.0,256,256
35298,3,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,8,8
35300,4,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,8,8
35296,5,5,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,8,8
36104,0,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,256,256
36100,1,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,256,256
36102,2,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,256,256
36103,3,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,8,8
36105,4,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,256,256
36101,5,6,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,256,256
37634,0,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,8
