pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
93570,3,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1580612753915963,52.53140786855793,0.6540773337888977,231,236
93573,4,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.13203895115511327,0.01550872955311137,1.0414110015288e-05,8,9
93571,5,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",386.237398806684,49.8841210671746,1.0849823614736078e-05,8,242
96260,0,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.18048139898515664,0.023623477838541927,0.6048714113758601,251,8
96264,1,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.14145453372153582,82.03609272398599,2.4711710989078916e-05,8,12
96263,2,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.14787970993230987,0.020663205809464773,0.9604431831674651,183,8
96265,3,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.20204783011164817,80.31337801125389,2.0253250682956334e-05,8,10
96261,4,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.11024956421933371,0.016455458559383605,0.9481668176327324,232,10
96262,5,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.10052494061963732,0.01044867028703039,0.9996224009382142,19,8
100,0,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1194083541427271,0.027082817129824188,1.2526196978966279e-05,200,254
99996,1,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",8547.1063636416,0.08969089301459521,0.9763571159565946,195,186
99997,2,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.4707811386631424,91.6653015020585,0.9574034947930935,8,254
102,3,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",7934.626814368179,0.010385630327393609,0.01311283979979214,217,205
99998,4,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
101,5,5,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",3998.8634180997797,0.05098362361293932,0.17897910018954913,250,241
4497,0,6,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.10327162645324102,85.51790924366611,0.6068718927951811,8,162
4498,1,6,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",7362.724644970573,26.676786625446976,0.9778665912034453,11,248
4501,2,6,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6047.699864795232,0.011077885445798614,1.1039144334563297e-05,9,14
